courseCode,instructor,term,school
MAT2040,Feng Yin,历史评价（学期未注明）,理工学院
MAT2040,He dongdong,历史评价（学期未注明）,理工学院
MAT2040,Huang Chuan,历史评价（学期未注明）,理工学院
MAT2040,LEI Shunbo,历史评价（学期未注明）,理工学院
MAT2040,Shen kaiming,历史评价（学期未注明）,理工学院
MAT2040,yang shenghao,历史评价（学期未注明）,理工学院
MAT2041,Li Tongxin,历史评价（学期未注明）,数据科学学院
MAT2042,未注明教师,历史评价（学期未注明）,理工学院
MAT2050,未注明教师,历史评价（学期未注明）,理工学院
MAT3007,pushi,历史评价（学期未注明）,数据科学学院
MAT3007,Wang Zizhuo,历史评价（学期未注明）,数据科学学院
MAT3010,"Hui, Shen",历史评价（学期未注明）,经管学院
MAT3010,"LIU, Bin",历史评价（学期未注明）,经管学院
MAT3280,Kenneth Shum,历史评价（学期未注明）,理工学院
MAT4001,未注明教师,历史评价（学期未注明）,理工学院
MAT4004,未注明教师,历史评价（学期未注明）,理工学院
MGT2020,未注明教师,历史评价（学期未注明）,经管学院
MGT3010,未注明教师,历史评价（学期未注明）,经管学院
MGT3070,未注明教师,历史评价（学期未注明）,经管学院
MGT3250,Wutao,历史评价（学期未注明）,经管学院
MGT3260,Suncong,历史评价（学期未注明）,经管学院
MGT4030,Tina,历史评价（学期未注明）,经管学院
MGT4060,Alessandro Golombiewski Teixeira,历史评价（学期未注明）,经管学院
MGT4187,Wang Wanxin💜,历史评价（学期未注明）,经管学院
MGT4250,Sali，Li,历史评价（学期未注明）,经管学院
MGT4270,Gordon Lam,历史评价（学期未注明）,经管学院
MIS2051,c,历史评价（学期未注明）,经管学院
MKT2010,Pan Qi,历史评价（学期未注明）,经管学院
MKT2010,Shim Yoonji,历史评价（学期未注明）,经管学院
MKT2010,"Zou, lili",历史评价（学期未注明）,经管学院
MKT3020,Zhanlingjing,历史评价（学期未注明）,经管学院
MKT3030,Zhanlingjing,历史评价（学期未注明）,经管学院
